area_level,area_level_label,area_id,iso3,area_name,sex,year,indicator,age_group_label,age_group,mean,provincial_value,ratio,organisation,country,pop_data_source,fertility_fit_level,admin1_level,mics,dhs
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,HIV prevalence,15-49,Y015_049,0.0087728374013854,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,HIV prevalence,15-29,Y015_029,0.00523069711285257,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,ART coverage,15-49,Y015_049,0.4237842032349618,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,ART coverage,15-29,Y015_029,0.28883547107906643,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,Population,15-49,Y015_049,1446127.45876925,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,Population,15-29,Y015_029,886907.0282769101,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,HIV prevalence,15-49,Y015_049,0.01114501348328446,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,HIV prevalence,15-29,Y015_029,0.00639397796234957,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,ART coverage,15-49,Y015_049,0.4741016117313611,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,ART coverage,15-29,Y015_029,0.3219809011234524,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,Population,15-49,Y015_049,746813.557299506,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,Population,15-29,Y015_029,452337.328071032,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,male,2022,HIV prevalence,15-49,Y015_049,0.00623953546853307,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,male,2022,HIV prevalence,15-29,Y015_029,0.00401985486819449,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,male,2022,ART coverage,15-49,Y015_049,0.32780290105879323,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,male,2022,ART coverage,15-29,Y015_029,0.23395884459966873,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,male,2022,Population,15-49,Y015_049,699313.901469742,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_10wp,AGO,HUÍLA,male,2022,Population,15-29,Y015_029,434569.700205877,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,both,2022,HIV prevalence,15-49,Y015_049,0.01429019403711399,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,both,2022,HIV prevalence,15-29,Y015_029,0.00794646226541321,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,both,2022,ART coverage,15-49,Y015_049,0.38553751995926994,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,both,2022,ART coverage,15-29,Y015_029,0.24772533239261327,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,both,2022,Population,15-49,Y015_049,5398052.15242202,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,both,2022,Population,15-29,Y015_029,3077056.6804849766,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,female,2022,HIV prevalence,15-49,Y015_049,0.01899623291431248,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,female,2022,HIV prevalence,15-29,Y015_029,0.01017159125167607,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,female,2022,ART coverage,15-49,Y015_049,0.43524149078058416,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,female,2022,ART coverage,15-29,Y015_029,0.2778992916085006,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,female,2022,Population,15-49,Y015_049,2656962.06528498,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,female,2022,Population,15-29,Y015_029,1515874.616079166,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,male,2022,HIV prevalence,15-49,Y015_049,0.00972859030393195,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,male,2022,HIV prevalence,15-29,Y015_029,0.00578590929425052,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,male,2022,ART coverage,15-49,Y015_049,0.29146328357454165,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,male,2022,ART coverage,15-29,Y015_029,0.1962191566915791,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,male,2022,Population,15-49,Y015_049,2741090.08713704,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_11tw,AGO,LUANDA,male,2022,Population,15-29,Y015_029,1561182.064405811,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,both,2022,HIV prevalence,15-49,Y015_049,0.03484878923961133,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,both,2022,HIV prevalence,15-29,Y015_029,0.01934767553059313,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,both,2022,ART coverage,15-49,Y015_049,0.640822471785915,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,both,2022,ART coverage,15-29,Y015_029,0.49099348295466366,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,both,2022,Population,15-49,Y015_049,472112.180900885,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,both,2022,Population,15-29,Y015_029,248500.5136373861,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,female,2022,HIV prevalence,15-49,Y015_049,0.04434330034127749,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,female,2022,HIV prevalence,15-29,Y015_029,0.02337765880444717,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,female,2022,ART coverage,15-49,Y015_049,0.6900984299951455,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,female,2022,ART coverage,15-29,Y015_029,0.5320155222786526,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,female,2022,Population,15-49,Y015_049,243049.632291569,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,female,2022,Population,15-29,Y015_029,129951.5562539373,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,male,2022,HIV prevalence,15-49,Y015_049,0.02477452155133853,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,male,2022,HIV prevalence,15-29,Y015_029,0.014930069423601,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,male,2022,ART coverage,15-49,Y015_049,0.5472390985770383,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,male,2022,ART coverage,15-29,Y015_029,0.42058253662517703,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,male,2022,Population,15-49,Y015_049,229062.548609316,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,male,2022,Population,15-29,Y015_029,118548.9573834487,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_13sz,AGO,LUNDA SUL,both,2022,HIV prevalence,15-49,Y015_049,0.03997606415036451,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_13sz,AGO,LUNDA SUL,both,2022,HIV prevalence,15-29,Y015_029,0.02282364783498546,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_13sz,AGO,LUNDA SUL,both,2022,ART coverage,15-49,Y015_049,0.6433947552486039,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_13sz,AGO,LUNDA SUL,both,2022,ART coverage,15-29,Y015_029,0.50338831438218,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_13sz,AGO,LUNDA SUL,both,2022,Population,15-49,Y015_049,313555.448075378,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_13sz,AGO,LUNDA SUL,both,2022,Population,15-29,Y015_029,178802.3695798643,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_13sz,AGO,LUNDA SUL,female,2022,HIV prevalence,15-49,Y015_049,0.04892461898302207,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_13sz,AGO,LUNDA SUL,female,2022,HIV prevalence,15-29,Y015_029,0.02686408950648654,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_13sz,AGO,LUNDA SUL,female,2022,ART coverage,15-49,Y015_049,0.6913502687940827,NA,NA,angola,Angola,orderly,2,1,0,1
1,Província,AGO_1_13sz,AGO,LUNDA SUL,female,2022,ART coverage,15-29,Y015_029,0.5441585798972929,NA,NA,angola,Angola,orderly,2,1,0,1
